"","county","county_fips","state","fips","county_population","health_service_area_number","health_service_area","health_service_area_population"
"929","Garden County",31069,"Nebraska",31069,"1,837",580,"Scotts Bluff, NE - Goshen, WY","69,815"
"930","Grant County",31075,"Nebraska",31075,"623",580,"Scotts Bluff, NE - Goshen, WY","69,815"
"931","Morrill County",31123,"Nebraska",31123,"4,642",580,"Scotts Bluff, NE - Goshen, WY","69,815"
"932","Rush County",20165,"Kansas",20165,"3,036",583,"Barton, KS - Pawnee, KS","38,027"
"933","Barton County",20009,"Kansas",20009,"25,779",583,"Barton, KS - Pawnee, KS","38,027"
"934","Pawnee County",20145,"Kansas",20145,"6,414",583,"Barton, KS - Pawnee, KS","38,027"
"935","Edwards County",20047,"Kansas",20047,"2,798",583,"Barton, KS - Pawnee, KS","38,027"
"936","Lawrence County",46081,"South Dakota",46081,"25,844",586,"Campbell, WY - Lawrence, SD","79,769"
"937","Campbell County",56005,"Wyoming",56005,"46,341",586,"Campbell, WY - Lawrence, SD","79,769"
"938","Crook County",56011,"Wyoming",56011,"7,584",586,"Campbell, WY - Lawrence, SD","79,769"
"939","Roberts County",46109,"South Dakota",46109,"10,394",590,"Roberts, SD - Big Stone, MN","18,644"
"940","Big Stone County",27011,"Minnesota",27011,"4,991",590,"Roberts, SD - Big Stone, MN","18,644"
"941","Traverse County",27155,"Minnesota",27155,"3,259",590,"Roberts, SD - Big Stone, MN","18,644"
"942","Custer County",31041,"Nebraska",31041,"10,777",594,"Custer, NE - Valley, NE","20,286"
"943","Garfield County",31071,"Nebraska",31071,"1,969",594,"Custer, NE - Valley, NE","20,286"
"944","Blaine County",31009,"Nebraska",31009,"465",594,"Custer, NE - Valley, NE","20,286"
"945","Wheeler County",31183,"Nebraska",31183,"783",594,"Custer, NE - Valley, NE","20,286"
"946","Logan County",31113,"Nebraska",31113,"748",594,"Custer, NE - Valley, NE","20,286"
"947","Loup County",31115,"Nebraska",31115,"664",594,"Custer, NE - Valley, NE","20,286"
"948","Thomas County",31171,"Nebraska",31171,"722",594,"Custer, NE - Valley, NE","20,286"
"949","Valley County",31175,"Nebraska",31175,"4,158",594,"Custer, NE - Valley, NE","20,286"
"950","Clearwater County",27029,"Minnesota",27029,"8,818",597,"Beltrami, MN - Clearwater, MN","56,006"
"951","Beltrami County",27007,"Minnesota",27007,"47,188",597,"Beltrami, MN - Clearwater, MN","56,006"
"952","Labette County",20099,"Kansas",20099,"19,618",601,"Labette, KS - Neosho, KS","51,132"
"953","Allen County",20001,"Kansas",20001,"12,369",601,"Labette, KS - Neosho, KS","51,132"
"954","Neosho County",20133,"Kansas",20133,"16,007",601,"Labette, KS - Neosho, KS","51,132"
"955","Woodson County",20207,"Kansas",20207,"3,138",601,"Labette, KS - Neosho, KS","51,132"
"956","Golden Valley County",38033,"North Dakota",38033,"1,761",605,"Stark, ND - Dunn, ND","38,602"
"957","Stark County",38089,"North Dakota",38089,"31,489",605,"Stark, ND - Dunn, ND","38,602"
"958","Billings County",38007,"North Dakota",38007,"928",605,"Stark, ND - Dunn, ND","38,602"
"959","Dunn County",38025,"North Dakota",38025,"4,424",605,"Stark, ND - Dunn, ND","38,602"
"960","Mississippi County",5093,"Arkansas",5093,"40,651",614,"Mississippi, AR - Pemiscot, MO","56,456"
"961","Pemiscot County",29155,"Missouri",29155,"15,805",614,"Mississippi, AR - Pemiscot, MO","56,456"
"962","Charles Mix County",46023,"South Dakota",46023,"9,292",615,"Davison, SD - Charles Mix, SD","51,576"
"963","Aurora County",46003,"South Dakota",46003,"2,751",615,"Davison, SD - Charles Mix, SD","51,576"
"964","Buffalo County",46017,"South Dakota",46017,"1,962",615,"Davison, SD - Charles Mix, SD","51,576"
"965","Lyman County",46085,"South Dakota",46085,"3,781",615,"Davison, SD - Charles Mix, SD","51,576"
"966","Sanborn County",46111,"South Dakota",46111,"2,344",615,"Davison, SD - Charles Mix, SD","51,576"
"967","Brule County",46015,"South Dakota",46015,"5,297",615,"Davison, SD - Charles Mix, SD","51,576"
"968","Hanson County",46061,"South Dakota",46061,"3,453",615,"Davison, SD - Charles Mix, SD","51,576"
"969","Davison County",46035,"South Dakota",46035,"19,775",615,"Davison, SD - Charles Mix, SD","51,576"
"970","Douglas County",46043,"South Dakota",46043,"2,921",615,"Davison, SD - Charles Mix, SD","51,576"
"971","Comanche County",20033,"Kansas",20033,"1,700",618,"Pratt, KS - Kiowa, KS","13,339"
"972","Kiowa County",20097,"Kansas",20097,"2,475",618,"Pratt, KS - Kiowa, KS","13,339"
"973","Pratt County",20151,"Kansas",20151,"9,164",618,"Pratt, KS - Kiowa, KS","13,339"
"974","Anderson County",20003,"Kansas",20003,"7,858",624,"Johnson (Overland Park), KS - Douglas, KS","792,299"
"975","Miami County",20121,"Kansas",20121,"34,237",624,"Johnson (Overland Park), KS - Douglas, KS","792,299"
"976","Franklin County",20059,"Kansas",20059,"25,544",624,"Johnson (Overland Park), KS - Douglas, KS","792,299"
"977","Douglas County",20045,"Kansas",20045,"122,259",624,"Johnson (Overland Park), KS - Douglas, KS","792,299"
"978","Johnson County",20091,"Kansas",20091,"602,401",624,"Johnson (Overland Park), KS - Douglas, KS","792,299"
"979","Phelps County",29161,"Missouri",29161,"44,573",627,"Pulaski, MO - Phelps, MO","119,023"
"980","Pulaski County",29169,"Missouri",29169,"52,607",627,"Pulaski, MO - Phelps, MO","119,023"
"981","Dent County",29065,"Missouri",29065,"15,573",627,"Pulaski, MO - Phelps, MO","119,023"
"982","Reynolds County",29179,"Missouri",29179,"6,270",627,"Pulaski, MO - Phelps, MO","119,023"
"983","Carroll County",19027,"Iowa",19027,"20,165",633,"Carroll, IA - Sac, IA","39,554"
"984","Calhoun County",19025,"Iowa",19025,"9,668",633,"Carroll, IA - Sac, IA","39,554"
"985","Sac County",19161,"Iowa",19161,"9,721",633,"Carroll, IA - Sac, IA","39,554"
"986","Smith County",20183,"Kansas",20183,"3,583",637,"Phillips, KS - Norton, KS","14,178"
"987","Norton County",20137,"Kansas",20137,"5,361",637,"Phillips, KS - Norton, KS","14,178"
"988","Phillips County",20147,"Kansas",20147,"5,234",637,"Phillips, KS - Norton, KS","14,178"
"989","Rolette County",38079,"North Dakota",38079,"14,176",638,"Rolette, ND - Pierce, ND","20,340"
"990","Towner County",38095,"North Dakota",38095,"2,189",638,"Rolette, ND - Pierce, ND","20,340"
"991","Pierce County",38069,"North Dakota",38069,"3,975",638,"Rolette, ND - Pierce, ND","20,340"
"992","Wichita County",20203,"Kansas",20203,"2,119",643,"Wichita, KS - Greeley, KS","3,351"
"993","Greeley County",20071,"Kansas",20071,"1,232",643,"Wichita, KS - Greeley, KS","3,351"
"994","Benton County",29015,"Missouri",29015,"19,443",656,"Pettis, MO - Saline, MO","105,170"
"995","Pettis County",29159,"Missouri",29159,"42,339",656,"Pettis, MO - Saline, MO","105,170"
"996","Morgan County",29141,"Missouri",29141,"20,627",656,"Pettis, MO - Saline, MO","105,170"
"997","Saline County",29195,"Missouri",29195,"22,761",656,"Pettis, MO - Saline, MO","105,170"
"998","Monroe County",29137,"Missouri",29137,"8,644",666,"Audrain, MO - Montgomery, MO","45,583"
"999","Audrain County",29007,"Missouri",29007,"25,388",666,"Audrain, MO - Montgomery, MO","45,583"
"1000","Montgomery County",29139,"Missouri",29139,"11,551",666,"Audrain, MO - Montgomery, MO","45,583"
"1001","Barber County",20007,"Kansas",20007,"4,427",669,"Barber, KS","4,427"
"1002","Linn County",29115,"Missouri",29115,"11,920",673,"Linn, MO","11,920"
"1003","Wilson County",20205,"Kansas",20205,"8,525",675,"Wilson, KS","8,525"
"1004","Taney County",29213,"Missouri",29213,"55,928",676,"Taney, MO","55,928"
"1005","Clackamas County",41005,"Oregon",41005,"418,187",689,"Multnomah (Portland), OR - Washington, OR","2,528,534"
"1006","Clatsop County",41007,"Oregon",41007,"40,224",689,"Multnomah (Portland), OR - Washington, OR","2,528,534"
"1007","Columbia County",41009,"Oregon",41009,"52,354",689,"Multnomah (Portland), OR - Washington, OR","2,528,534"
"1008","Multnomah County",41051,"Oregon",41051,"812,855",689,"Multnomah (Portland), OR - Washington, OR","2,528,534"
"1009","Cowlitz County",53015,"Washington",53015,"110,593",689,"Multnomah (Portland), OR - Washington, OR","2,528,534"
"1010","Wahkiakum County",53069,"Washington",53069,"4,488",689,"Multnomah (Portland), OR - Washington, OR","2,528,534"
"1011","Clark County",53011,"Washington",53011,"488,241",689,"Multnomah (Portland), OR - Washington, OR","2,528,534"
"1012","Washington County",41067,"Oregon",41067,"601,592",689,"Multnomah (Portland), OR - Washington, OR","2,528,534"
"1013","Sutter County",6101,"California",6101,"96,971",690,"Sutter (Yuba City), CA - Yuba, CA","197,186"
"1014","Colusa County",6011,"California",6011,"21,547",690,"Sutter (Yuba City), CA - Yuba, CA","197,186"
"1015","Yuba County",6115,"California",6115,"78,668",690,"Sutter (Yuba City), CA - Yuba, CA","197,186"
"1016","Butte County",6007,"California",6007,"219,186",697,"Butte (Chico), CA - Tehama, CA","312,663"
"1017","Glenn County",6021,"California",6021,"28,393",697,"Butte (Chico), CA - Tehama, CA","312,663"
"1018","Tehama County",6103,"California",6103,"65,084",697,"Butte (Chico), CA - Tehama, CA","312,663"
"1019","Lincoln County",53043,"Washington",53043,"10,939",698,"Spokane (Spokane), WA - Stevens, WA","620,794"
"1020","Stevens County",53065,"Washington",53065,"45,723",698,"Spokane (Spokane), WA - Stevens, WA","620,794"
"1021","Spokane County",53063,"Washington",53063,"522,798",698,"Spokane (Spokane), WA - Stevens, WA","620,794"
"1022","Pend Oreille County",53051,"Washington",53051,"13,724",698,"Spokane (Spokane), WA - Stevens, WA","620,794"
"1023","Adams County",53001,"Washington",53001,"19,983",698,"Spokane (Spokane), WA - Stevens, WA","620,794"
"1024","Ferry County",53019,"Washington",53019,"7,627",698,"Spokane (Spokane), WA - Stevens, WA","620,794"
"1025","Pima County",4019,"Arizona",4019,"1,047,279",700,"Pima (Tucson), AZ - Cochise, AZ","1,268,034"
"1026","Santa Cruz County",4023,"Arizona",4023,"46,498",700,"Pima (Tucson), AZ - Cochise, AZ","1,268,034"
"1027","Cochise County",4003,"Arizona",4003,"125,922",700,"Pima (Tucson), AZ - Cochise, AZ","1,268,034"
"1028","Graham County",4009,"Arizona",4009,"38,837",700,"Pima (Tucson), AZ - Cochise, AZ","1,268,034"
"1029","Greenlee County",4011,"Arizona",4011,"9,498",700,"Pima (Tucson), AZ - Cochise, AZ","1,268,034"
"1030","Utah County",49049,"Utah",49049,"636,235",703,"Utah (Provo), UT - Sanpete, UT","716,710"
"1031","Wayne County",49055,"Utah",49055,"2,711",703,"Utah (Provo), UT - Sanpete, UT","716,710"
"1032","Millard County",49027,"Utah",49027,"13,188",703,"Utah (Provo), UT - Sanpete, UT","716,710"
"1033","Sanpete County",49039,"Utah",49039,"30,939",703,"Utah (Provo), UT - Sanpete, UT","716,710"
"1034","Sevier County",49041,"Utah",49041,"21,620",703,"Utah (Provo), UT - Sanpete, UT","716,710"
"1035","Juab County",49023,"Utah",49023,"12,017",703,"Utah (Provo), UT - Sanpete, UT","716,710"
"1036","Polk County",41053,"Oregon",41053,"86,085",705,"Marion (Salem), OR - Yamhill, OR","541,003"
"1037","Marion County",41047,"Oregon",41047,"347,818",705,"Marion (Salem), OR - Yamhill, OR","541,003"
"1038","Yamhill County",41071,"Oregon",41071,"107,100",705,"Marion (Salem), OR - Yamhill, OR","541,003"
"1039","Trinity County",6105,"California",6105,"12,285",710,"Shasta (Redding), CA - Trinity, CA","201,206"
"1040","Modoc County",6049,"California",6049,"8,841",710,"Shasta (Redding), CA - Trinity, CA","201,206"
"1041","Shasta County",6089,"California",6089,"180,080",710,"Shasta (Redding), CA - Trinity, CA","201,206"
"1042","Elmore County",16039,"Idaho",16039,"27,511",716,"Ada (Boise City), ID - Canyon, ID","788,105"
"1043","Gem County",16045,"Idaho",16045,"18,112",716,"Ada (Boise City), ID - Canyon, ID","788,105"
"1044","Canyon County",16027,"Idaho",16027,"229,849",716,"Ada (Boise City), ID - Canyon, ID","788,105"
"1045","Valley County",16085,"Idaho",16085,"11,392",716,"Ada (Boise City), ID - Canyon, ID","788,105"
"1046","Ada County",16001,"Idaho",16001,"481,587",716,"Ada (Boise City), ID - Canyon, ID","788,105"
"1047","Boise County",16015,"Idaho",16015,"7,831",716,"Ada (Boise City), ID - Canyon, ID","788,105"
"1048","Owyhee County",16073,"Idaho",16073,"11,823",716,"Ada (Boise City), ID - Canyon, ID","788,105"
"1049","Fresno County",6019,"California",6019,"999,101",718,"Fresno (Fresno), CA - Kings, CA","1,309,368"
"1050","Kings County",6031,"California",6031,"152,940",718,"Fresno (Fresno), CA - Kings, CA","1,309,368"
"1051","Madera County",6039,"California",6039,"157,327",718,"Fresno (Fresno), CA - Kings, CA","1,309,368"
"1052","Linn County",41043,"Oregon",41043,"129,749",727,"Linn, OR - Benton, OR","222,802"
"1053","Benton County",41003,"Oregon",41003,"93,053",727,"Linn, OR - Benton, OR","222,802"
"1054","Washington County",16087,"Idaho",16087,"10,194",729,"Malheur, OR - Payette, ID","69,010"
"1055","Malheur County",41045,"Oregon",41045,"30,571",729,"Malheur, OR - Payette, ID","69,010"
"1056","Adams County",16003,"Idaho",16003,"4,294",729,"Malheur, OR - Payette, ID","69,010"
"1057","Payette County",16075,"Idaho",16075,"23,951",729,"Malheur, OR - Payette, ID","69,010"
"1058","Bent County",8011,"Colorado",8011,"5,577",745,"Otero, CO - Prowers, CO","43,494"
"1059","Otero County",8089,"Colorado",8089,"18,278",745,"Otero, CO - Prowers, CO","43,494"
"1060","Crowley County",8025,"Colorado",8025,"6,061",745,"Otero, CO - Prowers, CO","43,494"
"1061","Prowers County",8099,"Colorado",8099,"12,172",745,"Otero, CO - Prowers, CO","43,494"
"1062","Kiowa County",8061,"Colorado",8061,"1,406",745,"Otero, CO - Prowers, CO","43,494"
"1063","Lake County",6033,"California",6033,"64,386",746,"Solano (Vallejo), CA - Napa, CA","649,773"
"1064","Solano County",6095,"California",6095,"447,643",746,"Solano (Vallejo), CA - Napa, CA","649,773"
"1065","Napa County",6055,"California",6055,"137,744",746,"Solano (Vallejo), CA - Napa, CA","649,773"
"1066","Chelan County",53007,"Washington",53007,"77,200",747,"Grant, WA - Chelan, WA","260,605"
"1067","Grant County",53025,"Washington",53025,"97,733",747,"Grant, WA - Chelan, WA","260,605"
"1068","Douglas County",53017,"Washington",53017,"43,429",747,"Grant, WA - Chelan, WA","260,605"
"1069","Okanogan County",53047,"Washington",53047,"42,243",747,"Grant, WA - Chelan, WA","260,605"
"1070","Kit Carson County",8063,"Colorado",8063,"7,097",754,"El Paso (Colorado Springs), CO - Teller, CO","760,420"
"1071","Cheyenne County",8017,"Colorado",8017,"1,831",754,"El Paso (Colorado Springs), CO - Teller, CO","760,420"
"1072","Teller County",8119,"Colorado",8119,"25,388",754,"El Paso (Colorado Springs), CO - Teller, CO","760,420"
"1073","Lincoln County",8073,"Colorado",8073,"5,701",754,"El Paso (Colorado Springs), CO - Teller, CO","760,420"
"1074","El Paso County",8041,"Colorado",8041,"720,403",754,"El Paso (Colorado Springs), CO - Teller, CO","760,420"
"1075","Morgan County",8087,"Colorado",8087,"29,068",760,"Weld, CO - Morgan, CO","368,487"
"1076","Yuma County",8125,"Colorado",8125,"10,019",760,"Weld, CO - Morgan, CO","368,487"
"1077","Washington County",8121,"Colorado",8121,"4,908",760,"Weld, CO - Morgan, CO","368,487"
"1078","Weld County",8123,"Colorado",8123,"324,492",760,"Weld, CO - Morgan, CO","368,487"
"1079","Apache County",4001,"Arizona",4001,"71,887",765,"McKinley, NM - Apache, AZ","143,254"
"1080","McKinley County",35031,"New Mexico",35031,"71,367",765,"McKinley, NM - Apache, AZ","143,254"
"1081","Riverside County",6065,"California",6065,"2,470,546",768,"San Bernardino, CA - Riverside (Riverside), CA","4,650,631"
"1082","San Bernardino County",6071,"California",6071,"2,180,085",768,"San Bernardino, CA - Riverside (Riverside), CA","4,650,631"
"1083","Lincoln County",56023,"Wyoming",56023,"19,830",775,"Teton, WY - Lincoln, WY","53,125"
"1084","Sublette County",56035,"Wyoming",56035,"9,831",775,"Teton, WY - Lincoln, WY","53,125"
"1085","Teton County",56039,"Wyoming",56039,"23,464",775,"Teton, WY - Lincoln, WY","53,125"
"1086","Lassen County",6035,"California",6035,"30,573",780,"Lassen, CA - Plumas, CA","49,380"
"1087","Plumas County",6063,"California",6063,"18,807",780,"Lassen, CA - Plumas, CA","49,380"
"1088","Tillamook County",41057,"Oregon",41057,"27,036",783,"Lincoln, OR - Tillamook, OR","76,998"
"1089","Lincoln County",41041,"Oregon",41041,"49,962",783,"Lincoln, OR - Tillamook, OR","76,998"
"1090","Catron County",35003,"New Mexico",35003,"3,527",793,"Grant, NM - Hidalgo, NM","34,723"
"1091","Grant County",35017,"New Mexico",35017,"26,998",793,"Grant, NM - Hidalgo, NM","34,723"
"1092","Hidalgo County",35023,"New Mexico",35023,"4,198",793,"Grant, NM - Hidalgo, NM","34,723"
"1093","Broomfield County",8014,"Colorado",8014,"70,465",795,"Boulder, CO - Broomfield, CO","396,661"
"1094","Boulder County",8013,"Colorado",8013,"326,196",795,"Boulder, CO - Broomfield, CO","396,661"
"1095","Whatcom County",53073,"Washington",53073,"229,247",815,"Whatcom, WA","229,247"
"1096","Inyo County",6027,"California",6027,"18,039",816,"Inyo, CA - Mono, CA","32,483"
"1097","Mono County",6051,"California",6051,"14,444",816,"Inyo, CA - Mono, CA","32,483"
"1098","Kalawao County",15005,"Hawaii",15005,"86",821,"Honolulu (Honolulu), HI - Maui, HI","1,142,066"
"1099","Honolulu County",15003,"Hawaii",15003,"974,563",821,"Honolulu (Honolulu), HI - Maui, HI","1,142,066"
"1100","Maui County",15009,"Hawaii",15009,"167,417",821,"Honolulu (Honolulu), HI - Maui, HI","1,142,066"
"1101","Hawaii County",15001,"Hawaii",15001,"201,513",823,"Hawaii, HI","201,513"
"1102","Clay County",54015,"West Virginia",54015,"8,508",7,"Kanawha (Charleston), WV - Putnam, WV","297,149"
"1103","Webster County",54101,"West Virginia",54101,"8,114",7,"Kanawha (Charleston), WV - Putnam, WV","297,149"
"1104","Nicholas County",54067,"West Virginia",54067,"24,496",7,"Kanawha (Charleston), WV - Putnam, WV","297,149"
"1105","Putnam County",54079,"West Virginia",54079,"56,450",7,"Kanawha (Charleston), WV - Putnam, WV","297,149"
"1106","Boone County",54005,"West Virginia",54005,"21,457",7,"Kanawha (Charleston), WV - Putnam, WV","297,149"
"1107","Kanawha County",54039,"West Virginia",54039,"178,124",7,"Kanawha (Charleston), WV - Putnam, WV","297,149"
"1108","Lincoln County",23015,"Maine",23015,"34,634",9,"Cumberland (Portland), ME - Knox, ME","405,265"
"1109","Cumberland County",23005,"Maine",23005,"295,003",9,"Cumberland (Portland), ME - Knox, ME","405,265"
"1110","Knox County",23013,"Maine",23013,"39,772",9,"Cumberland (Portland), ME - Knox, ME","405,265"
"1111","Sagadahoc County",23023,"Maine",23023,"35,856",9,"Cumberland (Portland), ME - Knox, ME","405,265"
"1112","Craig County",51045,"Virginia",51045,"5,131",14,"Roanoke City, VA - Roanoke, VA","592,537"
"1113","Roanoke County",51161,"Virginia",51161,"94,186",14,"Roanoke City, VA - Roanoke, VA","592,537"
